"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
935, 3.590588271617887e-01, -6.022800311589069e-03, 9.159987106493604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.376031269916200e+00, 0.000000000000000e+00, 1.350412507966480e+00, 1.096868796237100e+00, 0.000000000000000e+00, 1.271583999164383e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651658980106231e-07, 2.375095065220483e-03, 2.235300277598360e-04, -1.594776801823880e+02, 2.238620672383314e+00, 0.000000000000000e+00
961, 3.418258726596831e-01, -7.731889300427723e-03, 9.045317792616787e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.332574784289456e+00, 0.000000000000000e+00, 1.333029913715782e+00, 1.096476070011152e+00, 0.000000000000000e+00, -2.204934850975172e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651210169067588e-07, 2.459563178657820e-03, 2.519710478407906e-04, -1.726737407010745e+02, 2.267158297766247e+00, 0.000000000000000e+00
987, 3.249974250793454e-01, -9.512235853685283e-03, 8.896683480333786e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.276192725376096e+00, 0.000000000000000e+00, 1.310477090150438e+00, 1.095933961828115e+00, 0.000000000000000e+00, -6.715499564043984e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650590512537947e-07, 2.614350025504664e-03, 2.771390341838543e-04, -2.017762297875642e+02, 2.319487180717573e+00, 0.000000000000000e+00
1013, 3.086399734020228e-01, -1.124982223942478e-02, 8.727755410223252e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.212157824812189e+00, 0.000000000000000e+00, 1.284863129924875e+00, 1.095310856400494e+00, 0.000000000000000e+00, -1.183829160915649e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.649878085132967e-07, 2.825591662160658e-03, 2.930461086962231e-04, -2.498393260011891e+02, 2.387534914843592e+00, 0.000000000000000e+00
1039, 2.927811741828926e-01, -1.285342881104542e-02, 8.549907273142796e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.144942386228162e+00, 0.000000000000000e+00, 1.257976954491265e+00, 1.094698121324148e+00, 0.000000000000000e+00, -1.721552669587863e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.649177319493788e-07, 3.069581105151180e-03, 2.949501660185809e-04, -3.182656779378273e+02, 2.460396832338490e+00, 0.000000000000000e+00
1065, 2.774220108985906e-01, -1.424949643200346e-02, 8.382235761755944e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.081785459415316e+00, 0.000000000000000e+00, 1.232714183766126e+00, 1.094172041942978e+00, 0.000000000000000e+00, -2.226808084090633e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.648575504704589e-07, 3.317682275104256e-03, 2.776132439196502e-04, -4.029427323348476e+02, 2.528425537780120e+00, 0.000000000000000e+00
1091, 2.625653147697450e-01, -1.538179712782175e-02, 8.251514141868539e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.032511632233107e+00, 0.000000000000000e+00, 1.213004652893243e+00, 1.093734498319801e+00, 0.000000000000000e+00, -2.620998701548306e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.648074862647344e-07, 3.557994122684666e-03, 2.392636975773450e-04, -4.942327824035017e+02, 2.592912291800625e+00, 0.000000000000000e+00
1117, 2.482267022132870e-01, -1.621278733892799e-02, 8.183766399391615e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.006682370033884e+00, 0.000000000000000e+00, 1.202672948013553e+00, 1.093395823099129e+00, 0.000000000000000e+00, -2.827632799142089e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.647687278992018e-07, 3.776062744061006e-03, 1.815624974179611e-04, -5.774088699453704e+02, 2.654243096166082e+00, 0.000000000000000e+00
1143, 2.344165146350864e-01, -1.673526151604090e-02, 8.186493743590971e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.007170592123508e+00, 0.000000000000000e+00, 1.202868236849403e+00, 1.093209041812214e+00, 0.000000000000000e+00, -2.823727022425097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.647473499079754e-07, 3.943435203550645e-03, 1.117786369855834e-04, -6.370998180821722e+02, 2.709219988565261e+00, 0.000000000000000e+00
1169, 2.210974693298340e-01, -1.698177897126074e-02, 8.249727340221720e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.030464986875688e+00, 0.000000000000000e+00, 1.212185994750275e+00, 1.093233066907971e+00, 0.000000000000000e+00, -2.637371864407664e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.647500997934801e-07, 4.041023657514376e-03, 4.029065711679957e-05, -6.657831147073325e+02, 2.749691992693601e+00, 0.000000000000000e+00
1195, 2.082438766956332e-01, -1.699621341101428e-02, 8.364027424352636e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.073084010737779e+00, 0.000000000000000e+00, 1.229233604295111e+00, 1.093457904737877e+00, 0.000000000000000e+00, -2.296419673510935e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.647758330338237e-07, 4.069249247136234e-03, -2.641109026342381e-05, -6.646701931000486e+02, 2.776059382664247e+00, 0.000000000000000e+00
1221, 1.958884000778201e-01, -1.681816181167279e-02, 8.516833347753834e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.130355311326805e+00, 0.000000000000000e+00, 1.252142124530722e+00, 1.093852010347862e+00, 0.000000000000000e+00, -1.838249268798720e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.648209330865091e-07, 4.033258756037206e-03, -8.145585987687856e-05, -6.368972670011186e+02, 2.786794196185713e+00, 0.000000000000000e+00
1247, 1.840233504772190e-01, -1.650705466640404e-02, 8.684018703470109e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.193446129581438e+00, 0.000000000000000e+00, 1.277378451832575e+00, 1.094414725487318e+00, 0.000000000000000e+00, -1.333522722761656e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.648853143186427e-07, 3.924613678580368e-03, -1.156316848617206e-04, -5.867960057775880e+02, 2.774011911713510e+00, 0.000000000000000e+00
1273, 1.725961565971370e-01, -1.613189774125477e-02, 8.847022170427516e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.255372761891683e+00, 0.000000000000000e+00, 1.302149104756673e+00, 1.095082133479689e+00, 0.000000000000000e+00, -8.381096642796984e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.649616524640505e-07, 3.768563278316095e-03, -1.284258423558579e-04, -5.291735008084312e+02, 2.741245619788433e+00, 0.000000000000000e+00
1299, 1.616173982620240e-01, -1.574350020956943e-02, 8.999432694441690e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.313466712673255e+00, 0.000000000000000e+00, 1.325386685069301e+00, 1.095747686439092e+00, 0.000000000000000e+00, -3.733580580271269e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650377555591765e-07, 3.595036186781772e-03, -1.254931494096483e-04, -4.726667992583196e+02, 2.696722806053771e+00, 0.000000000000000e+00
1325, 1.511152982711793e-01, -1.538205812259990e-02, 9.131255578634910e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.363803528595937e+00, 0.000000000000000e+00, 1.345521411438374e+00, 1.096334817880948e+00, 0.000000000000000e+00, 2.933646935433299e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.651048725458355e-07, 3.423490965560928e-03, -1.084144682149098e-04, -4.198655096153373e+02, 2.646508954633834e+00, 0.000000000000000e+00
1351, 1.410477757453919e-01, -1.509210527119934e-02, 9.242066613221409e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.406196193309807e+00, 0.000000000000000e+00, 1.362478477323923e+00, 1.096840930365429e+00, 0.000000000000000e+00, 3.684777870652979e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651627137355558e-07, 3.255720362447826e-03, -8.199574355765854e-05, -3.712565015135040e+02, 2.591276137890270e+00, 0.000000000000000e+00
1377, 1.314679384231571e-01, -1.488723679265244e-02, 9.325717285213577e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.438270886332993e+00, 0.000000000000000e+00, 1.375308354533197e+00, 1.097238222909127e+00, 0.000000000000000e+00, 6.250753312507842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652081091762293e-07, 3.100615916390340e-03, -4.826123746391414e-05, -3.279489120321594e+02, 2.535217383681283e+00, 0.000000000000000e+00
1403, 1.222792565822600e-01, -1.479997235806109e-02, 9.373068555553943e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.456532976289855e+00, 0.000000000000000e+00, 1.382613190515942e+00, 1.097493595738008e+00, 0.000000000000000e+00, 7.711720509056799e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652372842995733e-07, 2.977839592716601e-03, -9.432118944481745e-06, -2.935181521870061e+02, 2.486973360181019e+00, 0.000000000000000e+00
1429, 1.134960949420930e-01, -1.483031211283436e-02, 9.396064297947075e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.465536006339886e+00, 0.000000000000000e+00, 1.386214402535954e+00, 1.097659193161008e+00, 0.000000000000000e+00, 8.431962913059235e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652562012200611e-07, 2.880018371075623e-03, 2.689790217044586e-05, -2.677774333280835e+02, 2.443241794077539e+00, 0.000000000000000e+00
1455, 1.051684617996221e-01, -1.495977845122503e-02, 9.388766513855877e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.463009912618045e+00, 0.000000000000000e+00, 1.385203965047218e+00, 1.097711665342988e+00, 0.000000000000000e+00, 8.229875415311974e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652621950535612e-07, 2.811174223624088e-03, 6.306867765279022e-05, -2.490513413977408e+02, 2.408642433101079e+00, 0.000000000000000e+00
1481, 9.719923138618485e-02, -1.519593215364209e-02, 9.350605388100610e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.448720947111259e+00, 0.000000000000000e+00, 1.379488378844503e+00, 1.097643750707554e+00, 0.000000000000000e+00, 7.086758174769073e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652544372204332e-07, 2.780277045496831e-03, 9.782304281518621e-05, -2.390885290929816e+02, 2.387366833932929e+00, 0.000000000000000e+00
1507, 8.964005112648027e-02, -1.550613996745986e-02, 9.290902671954619e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.426204619094674e+00, 0.000000000000000e+00, 1.370481847637869e+00, 1.097484686934307e+00, 0.000000000000000e+00, 5.285451933442300e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.652362665678532e-07, 2.781598445389922e-03, 1.274571789713536e-04, -2.371565887124557e+02, 2.375290566562180e+00, 0.000000000000000e+00
